;Quarta-feira;Quinta-feira;Sexta-feira;Sábado;Domingo;Segunda-feira;Terça-feira;Total
Quickstep;14m 39s;21m 6s;17m 44s;15m 21s;1h 33m 9s;15m 46s;12m 47s;3h 10m 35s
Facebook;11s;39s;19s;3m 46s;1m 38s;27s;15s;7m 18s
WhatsApp;3h 11m 17s;2h 27m 31s;4h 28m 45s;1h 59m 35s;4h 4m 23s;2h 28m 39s;1h 41m 2s;20h 21m 16s
TikTok;43m 50s;40m 39s;33m 23s;45m 58s;23m 47s;57m 8s;39m 51s;4h 44m 39s
Instagram;53m 51s;1h 24m 34s;58m 10s;43m 2s;41m 58s;1h 2m 55s;52m 51s;6h 37m 25s
Idle Heroes;17m 29s;1h 34m 59s;28m 11s;28m 3s;12m 54s;12m 58s;26m 53s;3h 41m 29s
Rebel Racing;1h 32m 46s;1h 30m 22s;1h 21m 44s;1h 28m 52s;32m 28s;1h 1m 38s;34m 56s;8h 2m 48s
Google Play Store;2m 29s;1m 17s;22s;1m 44s;2s;33s;4m 38s;11m 8s
YouTube;4h 54m 21s;4h 38m 9s;5h 9m 54s;3h 57m 51s;2h 15m 11s;5h 32m 53s;5h 40m 40s;32h 9m 1s
Arquivos;3m 17s;1m 11s;8m 43s;1m 59s;6m 35s;50s;2m 21s;24m 58s
Google Play Música;11m 51s;3s;2m 39s;0s;28s;4m 9s;6m 23s;25m 36s
Sistema Android;29s;33s;13s;5s;33s;17s;2m 30s;4m 43s
Lexis Audio Editor;21m 29s;17m 40s;49s;0s;5m 31s;0s;4m 18s;49m 49s
Sudoku;30m 48s;10m 12s;0s;0s;14m 53s;17m 4s;7m 51s;1h 20m 50s
Duolingo;3s;0s;0s;0s;0s;0s;0s;3s
Instalador do pacote;1s;6s;0s;0s;0s;1s;1s;10s
Galeria;2m 1s;8m 5s;4m 40s;8m 11s;1h 38m 41s;29m 56s;18m 5s;2h 49m 42s
Word;6m 1s;0s;0s;0s;0s;0s;0s;6m 1s
Meet;3m 45s;38s;0s;0s;0s;0s;0s;4m 24s
Chrome;1m 29s;1h 3s;30m 44s;1h 50m 58s;58m 20s;1h 39m 48s;9m 48s;6h 11m 13s
Baixador de Vídeos - para Instagram;10s;3s;13s;9s;32s;6s;18s;1m 32s
Carpet Bombing;12m 15s;0s;0s;0s;0s;0s;0s;12m 15s
Interf sist;0s;15s;0s;0s;0s;0s;0s;15s
Configurações;0s;4m 1s;2m 12s;0s;0s;1m 9s;13s;7m 35s
Toolkit do SIM;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Services;0s;32s;0s;11s;6s;0s;0s;50s
Temple Ruins;0s;18m 28s;0s;0s;0s;55m 47s;0s;1h 14m 16s
StayFree;0s;4m 38s;0s;0s;0s;53s;1m 32s;7m 3s
Planilhas;0s;2m 47s;0s;0s;0s;18s;10m 35s;13m 40s
Afinador de Guitarra;0s;1m 33s;0s;0s;43s;0s;33s;2m 51s
D&D Spell 5e;0s;45s;0s;42s;9m 20s;23m 5s;0s;33m 54s
RPG;0s;1m 16s;0s;55s;16m 24s;0s;0s;18m 36s
Discord;0s;1m 8s;8m 59s;28m 10s;59m 4s;1m 1s;1m 47s;1h 40m 11s
Câmera;0s;0s;15s;1m 59s;42s;0s;3m 14s;6m 11s
BB;0s;0s;19s;0s;0s;0s;0s;19s
StickerFactory;0s;0s;1m 9s;0s;1m 58s;0s;0s;3m 8s
Contatos;0s;0s;9s;0s;12s;0s;0s;21s
Black Stories;0s;0s;2m 48s;0s;0s;0s;0s;2m 48s
Gmail;0s;0s;0s;8s;0s;0s;0s;8s
Telefone;0s;0s;0s;0s;16s;0s;0s;16s
Skype;0s;0s;0s;0s;5m 30s;0s;0s;5m 30s
Google Play Games;0s;0s;0s;0s;0s;0s;0s;0s
Clima&Radar;0s;0s;0s;0s;0s;0s;1s;1s
Office;0s;0s;0s;0s;0s;0s;8m 6s;8m 6s
MultiSudoku;0s;0s;0s;0s;0s;0s;11m 14s;11m 14s
Messenger;0s;0s;0s;0s;0s;0s;8s;8s
UFSM Digital;0s;0s;0s;0s;0s;0s;13s;13s
Calculadora;0s;0s;0s;0s;0s;0s;0s;0s
MyASUS;0s;0s;0s;0s;0s;0s;0s;0s
Drive;0s;0s;0s;0s;0s;0s;0s;0s
Maps;0s;0s;0s;0s;0s;0s;0s;0s
Mensagens;0s;0s;0s;0s;0s;0s;0s;0s
Fotos;0s;0s;0s;0s;0s;0s;0s;0s
Duo;0s;0s;0s;0s;0s;0s;0s;0s
Agenda;0s;0s;0s;0s;0s;0s;0s;0s
Relógio;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Filmes;0s;0s;0s;0s;0s;0s;0s;0s
Documentos;0s;0s;0s;0s;0s;0s;0s;0s
Shazam;0s;0s;0s;0s;0s;0s;0s;0s
Gravador de som;0s;0s;0s;0s;0s;0s;0s;0s
Rádio FM;0s;0s;0s;0s;0s;0s;0s;0s
Google;0s;0s;0s;0s;0s;0s;0s;0s
Bíblia Sagrada;0s;0s;0s;0s;0s;0s;0s;0s
Minha Oi;0s;0s;0s;0s;0s;0s;0s;0s
Muda voz com efeitos;0s;0s;0s;0s;0s;0s;0s;0s
InShot;0s;0s;0s;0s;0s;0s;0s;0s
RPG Simple Dice;0s;0s;0s;0s;0s;0s;0s;0s
Dark Stories;0s;0s;0s;0s;0s;0s;0s;0s
Bus Santa Maria RS;0s;0s;0s;0s;0s;0s;0s;0s
PowerPoint;0s;0s;0s;0s;0s;0s;0s;0s
WorldBox;0s;0s;0s;0s;0s;0s;0s;0s
Quebra-Cabeças Inteligentes;0s;0s;0s;0s;0s;0s;0s;0s
Auto Clicker;0s;0s;0s;0s;0s;0s;0s;0s
Polish;0s;0s;0s;0s;0s;0s;0s;0s
Zoom;0s;0s;0s;0s;0s;0s;0s;0s
Total;14h 47m 34s;14h 53m 28s;14h 24m 58s;12h 32m 5s;15h 35m 51s;15h 31m 7s;12h 34m 17s;100h 19m 23s
;;;;;;;;
"Criado por ""StayFree"".";;;;;;;;
Data de criação: 18/08/2020 23:13:47;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
