;Quarta-feira;Quinta-feira;Sexta-feira;Sábado;Domingo;Segunda-feira;Terça-feira;Total
Quickstep;2m 36s;7m 22s;10m 51s;2m 12s;1m 34s;5m 30s;4m 44s;34m 52s
Relógio;1m 12s;45s;45s;56s;9m 32s;43s;1m 23s;15m 19s
WhatsApp;1h 21m 34s;1h 1m;1h 10m 47s;1h 5m 42s;39m 13s;40m 39s;2h 46s;7h 59m 44s
Interf sist;3s;0s;0s;0s;0s;0s;1s;5s
Meet;1h 10m 29s;56m 49s;1h 27m 33s;0s;0s;1h 45m 10s;1h 33m 23s;6h 53m 26s
Calculadora;7m 38s;4m 54s;5m 47s;0s;0s;0s;0s;18m 20s
Calculadora;0s;0s;8s;0s;0s;0s;0s;8s
Trello;46s;0s;48s;0s;59s;0s;0s;2m 34s
Instagram;47s;0s;2m 17s;1m 12s;0s;10m 13s;2m 10s;16m 40s
YouTube;55m 50s;35m 11s;1h 16m 28s;47m 29s;1h 11m 7s;1h 21m 23s;0s;6h 7m 31s
Configurações;0s;17s;1m 15s;0s;12s;1m 31s;4m 2s;7m 19s
Urmob;0s;1s;0s;0s;0s;0s;0s;1s
Sistema Android;0s;27s;5s;0s;0s;6s;1s;41s
Visualizador de PDF do Google;0s;10m 59s;0s;0s;0s;16s;6m 26s;17m 42s
Planilhas;0s;2m 28s;2m 33s;0s;0s;3m 15s;13s;8m 29s
Câmera;0s;1m 40s;9s;0s;0s;0s;0s;1m 50s
FOTAService;0s;30s;0s;0s;0s;0s;0s;30s
Google Play Store;0s;3m 22s;0s;0s;0s;1s;1m 47s;5m 11s
StayFree;0s;8m 49s;1m 26s;26s;0s;46s;37s;12m 6s
Gmail;0s;1m 39s;59s;0s;0s;19s;0s;2m 58s
Instalador do pacote;0s;3s;2s;0s;0s;8s;11s;25s
Toolkit do SIM;0s;5s;0s;0s;0s;0s;1s;7s
Yahoo Mail;0s;15s;0s;0s;0s;17s;0s;33s
Firefox;0s;2m 3s;3m 23s;0s;0s;0s;4m 11s;9m 38s
Drive;0s;0s;10s;0s;0s;0s;15s;25s
onc;0s;0s;27s;0s;0s;0s;0s;27s
Arquivos;0s;0s;1m 15s;0s;0s;0s;7s;1m 23s
MyASUS;0s;0s;1m 42s;0s;0s;0s;0s;1m 42s
Telefone;0s;0s;1m 5s;0s;0s;0s;0s;1m 5s
Google Sala de Aula;0s;0s;1m 20s;0s;0s;4s;0s;1m 24s
BB;0s;0s;8m 9s;0s;0s;0s;1m 3s;9m 13s
Leitor QR;0s;0s;16s;0s;0s;0s;0s;16s
Chrome;0s;0s;7m 6s;8m 45s;4m 37s;14m 49s;4m 26s;39m 45s
Fotos;0s;0s;0s;0s;5s;0s;0s;5s
UFSM Digital;0s;0s;0s;0s;0s;1m 11s;0s;1m 11s
Google Play Services;0s;0s;0s;0s;0s;0s;0s;0s
Documentos;0s;0s;0s;0s;0s;0s;1m 6s;1m 6s
ENEM;0s;0s;0s;0s;0s;0s;43s;43s
Firefox Lockwise;0s;0s;0s;0s;0s;0s;1m 7s;1m 7s
Maps;0s;0s;0s;0s;0s;0s;0s;0s
Mensagens;0s;0s;0s;0s;0s;0s;0s;0s
Duo;0s;0s;0s;0s;0s;0s;0s;0s
Agenda;0s;0s;0s;0s;0s;0s;0s;0s
Contatos;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Música;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Filmes;0s;0s;0s;0s;0s;0s;0s;0s
Apresentações;0s;0s;0s;0s;0s;0s;0s;0s
Hangouts;0s;0s;0s;0s;0s;0s;0s;0s
Pinterest;0s;0s;0s;0s;0s;0s;0s;0s
Spotify;0s;0s;0s;0s;0s;0s;0s;0s
Gravador de som;0s;0s;0s;0s;0s;0s;0s;0s
Facebook;0s;0s;0s;0s;0s;0s;0s;0s
Messenger;0s;0s;0s;0s;0s;0s;0s;0s
Google;0s;0s;0s;0s;0s;0s;0s;0s
Rádio FM;0s;0s;0s;0s;0s;0s;0s;0s
Dumb Ways Draw;0s;0s;0s;0s;0s;0s;0s;0s
Delivery Much;0s;0s;0s;0s;0s;0s;0s;0s
Pixel Studio;0s;0s;0s;0s;0s;0s;0s;0s
Adobe Scan;0s;0s;0s;0s;0s;0s;0s;0s
Druidshape 5e;0s;0s;0s;0s;0s;0s;0s;0s
Questões OBMEP;0s;0s;0s;0s;0s;0s;0s;0s
Magic Rampage;0s;0s;0s;0s;0s;0s;0s;0s
