;Quarta-feira;Quinta-feira;Sexta-feira;Sábado;Domingo;Segunda-feira;Terça-feira;Total
Configurações;11s;2m 16s;9m 3s;20s;0s;0s;9s;12m
Quickstep;3m 57s;29m 24s;14m 58s;6m 10s;12m 28s;2m 13s;6m 58s;1h 16m 10s
Facebook;1h 35m 54s;44m 23s;31m 49s;10m 47s;1h 9m 57s;1h 48m 13s;0s;6h 1m 6s
WhatsApp;26m 56s;20m 5s;22m 6s;9m 7s;4m 16s;3m 27s;9m 13s;1h 35m 12s
YouTube;4h 11m 24s;2h 33m 50s;3h 59m 14s;7h 38m 2s;3h 3m 19s;5h 55m 50s;5h 49m 37s;33h 11m 19s
Gmail;53s;3m 5s;0s;51s;0s;0s;1m 26s;6m 17s
Fotos;35s;0s;0s;0s;0s;37s;0s;1m 12s
Messenger;28s;0s;0s;0s;0s;0s;0s;28s
Sistema Android;1s;9s;2s;2s;0s;0s;0s;15s
Google Play Store;0s;1m 12s;0s;0s;0s;0s;0s;1m 12s
StayFree;0s;2m 28s;53s;0s;0s;0s;0s;3m 21s
Meet;0s;16m 4s;0s;0s;0s;0s;0s;16m 4s
Instalador do pacote;0s;8s;0s;0s;0s;0s;0s;8s
Chrome;0s;2s;1h 17m 26s;1h 28m 50s;36m 5s;35m 46s;22m 50s;4h 21m 1s
Mensagens;0s;8s;0s;22s;0s;0s;0s;30s
Planilhas;0s;39s;0s;0s;0s;0s;0s;39s
FOTAService;0s;0s;4m 48s;0s;0s;9s;0s;4m 58s
Telefone;0s;0s;6m 46s;0s;0s;3s;0s;6m 50s
Sticker.ly;0s;0s;0s;0s;35s;0s;0s;35s
Câmera;0s;0s;0s;0s;17s;11s;0s;29s
Google Sala de Aula;0s;0s;0s;0s;0s;4s;0s;4s
Twitch;0s;0s;0s;0s;0s;0s;8s;8s
Calculadora;0s;0s;0s;0s;0s;0s;0s;0s
MyASUS;0s;0s;0s;0s;0s;0s;0s;0s
Drive;0s;0s;0s;0s;0s;0s;0s;0s
Maps;0s;0s;0s;0s;0s;0s;0s;0s
Duo;0s;0s;0s;0s;0s;0s;0s;0s
Agenda;0s;0s;0s;0s;0s;0s;0s;0s
Contatos;0s;0s;0s;0s;0s;0s;0s;0s
Relógio;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Música;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Filmes;0s;0s;0s;0s;0s;0s;0s;0s
Documentos;0s;0s;0s;0s;0s;0s;0s;0s
Apresentações;0s;0s;0s;0s;0s;0s;0s;0s
YouTube Music;0s;0s;0s;0s;0s;0s;0s;0s
Shazam;0s;0s;0s;0s;0s;0s;0s;0s
Arquivos;0s;0s;0s;0s;0s;0s;0s;0s
Toolkit do SIM;0s;0s;0s;0s;0s;0s;0s;0s
Gravador de som;0s;0s;0s;0s;0s;0s;0s;0s
Google;0s;0s;0s;0s;0s;0s;0s;0s
Rádio FM;0s;0s;0s;0s;0s;0s;0s;0s
BB;0s;0s;0s;0s;0s;0s;0s;0s
Hand Talk;0s;0s;0s;0s;0s;0s;0s;0s
Minha Oi;0s;0s;0s;0s;0s;0s;0s;0s
Truco;0s;0s;0s;0s;0s;0s;0s;0s
Say WHAT?;0s;0s;0s;0s;0s;0s;0s;0s
RPG Simple Dice;0s;0s;0s;0s;0s;0s;0s;0s
Discord;0s;0s;0s;0s;0s;0s;0s;0s
5e Bestiary;0s;0s;0s;0s;0s;0s;0s;0s
5e Character;0s;0s;0s;0s;0s;0s;0s;0s
5e Spells;0s;0s;0s;0s;0s;0s;0s;0s
Vampire's Fall: Origins;0s;0s;0s;0s;0s;0s;0s;0s
Notas do Keep;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Games;0s;0s;0s;0s;0s;0s;0s;0s
Among Us;0s;0s;0s;0s;0s;0s;0s;0s
LoLChess;0s;0s;0s;0s;0s;0s;0s;0s
Lexis Audio Editor;0s;0s;0s;0s;0s;0s;0s;0s
TFT;0s;0s;0s;0s;0s;0s;0s;0s
LoL Esports;0s;0s;0s;0s;0s;0s;0s;0s
RPG;0s;0s;0s;0s;0s;0s;0s;0s
Total;7h 34m 26s;5h 54m 9s;8h 36m 16s;10h 51m 58s;5h 34m 45s;9h 42m 24s;7h 40m 8s;55h 54m 9s
;;;;;;;;
"Criado por ""StayFree"".";;;;;;;;
Data de criação: 18/08/2020 22:43:13;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
