;Quarta-feira;Quinta-feira;Sexta-feira;Sábado;Domingo;Segunda-feira;Terça-feira;Total
Relógio;1m 4s;59s;1m 55s;1m 10s;6m 4s;3m;1m 15s;15m 31s
WhatsApp;1h 21m 3s;1h 41m 34s;1h 15m 49s;36m 15s;48m 55s;3h 18m 53s;2h 11m 26s;11h 13m 57s
IU do sist.;12s;0s;0s;0s;0s;0s;18s;30s
Tela inicial de One UI;4m 17s;2m 37s;5m 14s;11m 14s;5m 15s;11m 25s;2m 47s;42m 53s
Samsung Internet;6s;0s;30s;2m 33s;2m 25s;38s;0s;6m 14s
Google Play Services;6s;0s;0s;0s;0s;2s;0s;9s
Google Play Store;24s;0s;1m 37s;0s;0s;41s;41s;3m 24s
Instagram;1h 39m 35s;1h 22m 35s;54m 46s;1h 18m 13s;56m 47s;1h 49m 21s;1h 1m 40s;9h 3m
Twitter;20m 28s;1m 36s;40m 8s;29m 41s;35m 58s;41m 18s;1m 47s;2h 50m 59s
Câmera;1m 3s;3s;0s;20s;37s;42s;22s;3m 10s
Pinterest;5m 26s;46m 1s;42m 11s;11m 10s;3s;0s;0s;1h 44m 54s
Google;3m 37s;1m 25s;10s;4m 38s;2m 7s;11s;0s;12m 10s
Chrome;10m 46s;0s;0s;1h 1m 52s;1m 59s;3m 28s;0s;1h 18m 6s
Controlador de permissões;0s;0s;4s;0s;0s;5s;0s;10s
Galeria;7m 53s;0s;1m 21s;4m 40s;49m 43s;5m 43s;12s;1h 9m 35s
Editor de fotografias;22s;0s;0s;0s;9s;0s;0s;32s
Samsung Notes;5m 58s;0s;0s;0s;0s;0s;0s;5m 58s
PicsArt;6m 11s;0s;0s;0s;0s;0s;0s;6m 11s
Preview;2m 11s;0s;0s;0s;0s;0s;0s;2m 11s
Sistema Android;0s;0s;26s;0s;0s;16s;9s;52s
Arquivos;31s;0s;0s;0s;0s;0s;0s;31s
Menu Claro;0s;7m 6s;57m 40s;1s;0s;3m 28s;1h 2m 41s;2h 10m 59s
Sticker.ly;0s;7m 30s;0s;52s;0s;0s;0s;8m 23s
Config.;0s;56s;5m 35s;2m 46s;1s;38s;13s;10m 11s
StayFree;0s;0s;9m 9s;1m 32s;37s;0s;1m 16s;12m 35s
Captura Samsung;0s;0s;15s;56s;0s;9s;0s;1m 22s
Meus Arquivos;0s;0s;11m 24s;0s;0s;0s;1m 17s;12m 42s
Clima;0s;0s;39s;0s;1m 50s;17s;0s;2m 48s
Aplicação MTP;0s;0s;0s;0s;0s;0s;0s;0s
Gmail;0s;0s;0s;0s;20s;0s;0s;20s
Hangouts;0s;0s;0s;0s;0s;4s;0s;4s
Telefone;0s;0s;0s;0s;0s;1m 20s;0s;1m 20s
Contatos;0s;0s;0s;0s;0s;3m 31s;0s;3m 31s
Novidades;0s;0s;0s;0s;0s;11s;0s;11s
Samsung Experience Service;0s;0s;0s;0s;0s;39s;0s;39s
Samsung account;0s;0s;0s;0s;0s;3s;0s;3s
UFSM Digital;0s;0s;0s;0s;0s;27s;0s;27s
Drive;0s;0s;0s;0s;0s;7s;25m 52s;26m
Instalador do pacote;0s;0s;0s;0s;0s;0s;3s;3s
Snapchat;0s;0s;0s;0s;0s;0s;2m 33s;2m 33s
Maps;0s;0s;0s;0s;0s;0s;0s;0s
Duo;0s;0s;0s;0s;0s;0s;0s;0s
Calendário;0s;0s;0s;0s;0s;0s;0s;0s
Mensagens;0s;0s;0s;0s;0s;0s;0s;0s
Fotos;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Música;0s;0s;0s;0s;0s;0s;0s;0s
Google Play Filmes;0s;0s;0s;0s;0s;0s;0s;0s
E-mail;0s;0s;0s;0s;0s;0s;0s;0s
OneDrive;0s;0s;0s;0s;0s;0s;0s;0s
Reminder;0s;0s;0s;0s;0s;0s;0s;0s
Galaxy Themes;0s;0s;0s;0s;0s;0s;0s;0s
Rádio;0s;0s;0s;0s;0s;0s;0s;0s
Galaxy Store;0s;0s;0s;0s;0s;0s;0s;0s
Manual do Usuário;0s;0s;0s;0s;0s;0s;0s;0s
Teste Eneagrama;0s;0s;0s;0s;0s;0s;0s;0s
Pessoas famosas;0s;0s;0s;0s;0s;0s;0s;0s
Idle Life;0s;0s;0s;0s;0s;0s;0s;0s
Duolingo;0s;0s;0s;0s;0s;0s;0s;0s
Messenger;0s;0s;0s;0s;0s;0s;0s;0s
CodyCross;0s;0s;0s;0s;0s;0s;0s;0s
CamScanner;0s;0s;0s;0s;0s;0s;0s;0s
AirBrush;0s;0s;0s;0s;0s;0s;0s;0s
Photomath;0s;0s;0s;0s;0s;0s;0s;0s
Snapseed;0s;0s;0s;0s;0s;0s;0s;0s
Samsung Members;0s;0s;0s;0s;0s;0s;0s;0s
Calculadora;0s;0s;0s;0s;0s;0s;0s;0s
Gravador de voz;0s;0s;0s;0s;0s;0s;0s;0s
Slash & Girl;0s;0s;0s;0s;0s;0s;0s;0s
Efeito de glitch em vídeo - GlitchCam;0s;0s;0s;0s;0s;0s;0s;0s
What To Draw;0s;0s;0s;0s;0s;0s;0s;0s
Vaporgram;0s;0s;0s;0s;0s;0s;0s;0s
Total;8h 15m 27s;10h 3m 28s;9h 5m 51s;6h 7m 13s;5h 44m 18s;9h 26m 53s;6h 20m 3s;55h 3m 16s
;;;;;;;;
"Criado por ""StayFree"".";;;;;;;;
Data de criação: 18/08/2020 22:40:29;;;;;;;;
